ltlacd,ltlanm,ctycd,ctynm,mctycd,mctynm,cauthcd,cauthnm,rgncd,rgnnm,ctrycd,ctrynm
E07000090,Havant,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000091,New Forest,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000092,Rushmoor,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000093,Test Valley,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000094,Winchester,E10000014,Hampshire,,,,,E12000008,South East,E92000001,England
E07000095,Broxbourne,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000096,Dacorum,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000098,Hertsmere,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000099,North Hertfordshire,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000102,Three Rivers,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000103,Watford,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000105,Ashford,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000106,Canterbury,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000107,Dartford,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000108,Dover,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000109,Gravesham,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000110,Maidstone,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000111,Sevenoaks,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000112,Folkestone and Hythe,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000113,Swale,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000114,Thanet,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000115,Tonbridge and Malling,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000116,Tunbridge Wells,E10000016,Kent,,,,,E12000008,South East,E92000001,England
E07000117,Burnley,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000118,Chorley,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000119,Fylde,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000120,Hyndburn,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000121,Lancaster,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000122,Pendle,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000123,Preston,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000124,Ribble Valley,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000125,Rossendale,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000126,South Ribble,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000127,West Lancashire,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000128,Wyre,E10000017,Lancashire,,,,,E12000002,North West,E92000001,England
E07000129,Blaby,E10000018,Leicestershire,,,,,E12000004,East Midlands,E92000001,England
E07000130,Charnwood,E10000018,Leicestershire,,,,,E12000004,East Midlands,E92000001,England
E07000131,Harborough,E10000018,Leicestershire,,,,,E12000004,East Midlands,E92000001,England
E07000132,Hinckley and Bosworth,E10000018,Leicestershire,,,,,E12000004,East Midlands,E92000001,England
E07000133,Melton,E10000018,Leicestershire,,,,,E12000004,East Midlands,E92000001,England
E07000134,North West Leicestershire,E10000018,Leicestershire,,,,,E12000004,East Midlands,E92000001,England
E07000135,Oadby and Wigston,E10000018,Leicestershire,,,,,E12000004,East Midlands,E92000001,England
E07000136,Boston,E10000019,Lincolnshire,,,,,E12000004,East Midlands,E92000001,England
E07000137,East Lindsey,E10000019,Lincolnshire,,,,,E12000004,East Midlands,E92000001,England
E07000138,Lincoln,E10000019,Lincolnshire,,,,,E12000004,East Midlands,E92000001,England
E07000139,North Kesteven,E10000019,Lincolnshire,,,,,E12000004,East Midlands,E92000001,England
E07000140,South Holland,E10000019,Lincolnshire,,,,,E12000004,East Midlands,E92000001,England
E07000141,South Kesteven,E10000019,Lincolnshire,,,,,E12000004,East Midlands,E92000001,England
E07000142,West Lindsey,E10000019,Lincolnshire,,,,,E12000004,East Midlands,E92000001,England
E07000143,Breckland,E10000020,Norfolk,,,,,E12000006,East of England,E92000001,England
E07000144,Broadland,E10000020,Norfolk,,,,,E12000006,East of England,E92000001,England
E07000145,Great Yarmouth,E10000020,Norfolk,,,,,E12000006,East of England,E92000001,England
E07000146,King's Lynn and West Norfolk,E10000020,Norfolk,,,,,E12000006,East of England,E92000001,England
E07000147,North Norfolk,E10000020,Norfolk,,,,,E12000006,East of England,E92000001,England
E07000148,Norwich,E10000020,Norfolk,,,,,E12000006,East of England,E92000001,England
E07000149,South Norfolk,E10000020,Norfolk,,,,,E12000006,East of England,E92000001,England
E07000150,Corby,E10000021,Northamptonshire,,,,,E12000004,East Midlands,E92000001,England
E07000151,Daventry,E10000021,Northamptonshire,,,,,E12000004,East Midlands,E92000001,England
E07000152,East Northamptonshire,E10000021,Northamptonshire,,,,,E12000004,East Midlands,E92000001,England
E07000153,Kettering,E10000021,Northamptonshire,,,,,E12000004,East Midlands,E92000001,England
E07000154,Northampton,E10000021,Northamptonshire,,,,,E12000004,East Midlands,E92000001,England
E07000155,South Northamptonshire,E10000021,Northamptonshire,,,,,E12000004,East Midlands,E92000001,England
E07000156,Wellingborough,E10000021,Northamptonshire,,,,,E12000004,East Midlands,E92000001,England
E07000163,Craven,E10000023,North Yorkshire,,,,,E12000003,Yorkshire and The Humber,E92000001,England
E07000164,Hambleton,E10000023,North Yorkshire,,,,,E12000003,Yorkshire and The Humber,E92000001,England
E07000165,Harrogate,E10000023,North Yorkshire,,,,,E12000003,Yorkshire and The Humber,E92000001,England
E07000166,Richmondshire,E10000023,North Yorkshire,,,,,E12000003,Yorkshire and The Humber,E92000001,England
E07000167,Ryedale,E10000023,North Yorkshire,,,,,E12000003,Yorkshire and The Humber,E92000001,England
E07000168,Scarborough,E10000023,North Yorkshire,,,,,E12000003,Yorkshire and The Humber,E92000001,England
E07000169,Selby,E10000023,North Yorkshire,,,,,E12000003,Yorkshire and The Humber,E92000001,England
E07000170,Ashfield,E10000024,Nottinghamshire,,,,,E12000004,East Midlands,E92000001,England
E07000171,Bassetlaw,E10000024,Nottinghamshire,,,,,E12000004,East Midlands,E92000001,England
E07000172,Broxtowe,E10000024,Nottinghamshire,,,,,E12000004,East Midlands,E92000001,England
E07000173,Gedling,E10000024,Nottinghamshire,,,,,E12000004,East Midlands,E92000001,England
E07000174,Mansfield,E10000024,Nottinghamshire,,,,,E12000004,East Midlands,E92000001,England
E07000175,Newark and Sherwood,E10000024,Nottinghamshire,,,,,E12000004,East Midlands,E92000001,England
E07000176,Rushcliffe,E10000024,Nottinghamshire,,,,,E12000004,East Midlands,E92000001,England
E07000177,Cherwell,E10000025,Oxfordshire,,,,,E12000008,South East,E92000001,England
E07000178,Oxford,E10000025,Oxfordshire,,,,,E12000008,South East,E92000001,England
E07000179,South Oxfordshire,E10000025,Oxfordshire,,,,,E12000008,South East,E92000001,England
E07000180,Vale of White Horse,E10000025,Oxfordshire,,,,,E12000008,South East,E92000001,England
E07000181,West Oxfordshire,E10000025,Oxfordshire,,,,,E12000008,South East,E92000001,England
E07000187,Mendip,E10000027,Somerset,,,,,E12000009,South West,E92000001,England
E07000188,Sedgemoor,E10000027,Somerset,,,,,E12000009,South West,E92000001,England
E07000189,South Somerset,E10000027,Somerset,,,,,E12000009,South West,E92000001,England
E07000190,Taunton Deane,E10000027,Somerset,,,,,E12000009,South West,E92000001,England
E07000191,West Somerset,E10000027,Somerset,,,,,E12000009,South West,E92000001,England
E07000192,Cannock Chase,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
E07000193,East Staffordshire,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
E07000194,Lichfield,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
E07000195,Newcastle-under-Lyme,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
E07000196,South Staffordshire,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
E07000197,Stafford,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
